"Four-Year Graduation Rates, Trend"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,"Graduates",,,,
"",,"Four-Year Graduation Rate by Year",,,,
"District","Free/Reduced Price Meal Eligibility","2010-11","2011-12","2012-13","2013-14","2014-15"
"Amistad Academy District","Eligible For Free Lunch","*",71.4,61.1,83.3,81.8
"Amistad Academy District","Eligible For Reduced Lunch","*","*","*","*","*"
"Amistad Academy District","Not Eligible For Lunch",69.2,"*","*","*","*"
"Ansonia School District","Eligible For Free Lunch",52.7,64.4,65.4,66.3,78.6
"Ansonia School District","Eligible For Reduced Lunch",77.8,77.8,81.1,90.9,90.6
"Ansonia School District","Not Eligible For Lunch",85.2,89.0,88.2,89.1,90.5
"Avon School District","Eligible For Free Lunch","*","*","*","*",90.0
"Avon School District","Eligible For Reduced Lunch","*","*","*","*",77.8
"Avon School District","Not Eligible For Lunch",95.6,96.7,96.4,97.2,96.9
"Berlin School District","Eligible For Free Lunch","*",90.5,80.0,86.2,77.8
"Berlin School District","Eligible For Reduced Lunch","*",88.9,100.0,100.0,100.0
"Berlin School District","Not Eligible For Lunch",95.5,95.3,97.8,95.9,96.0
"Bethel School District","Eligible For Free Lunch",75.0,81.8,72.0,72.2,83.3
"Bethel School District","Eligible For Reduced Lunch",100.0,93.8,86.7,100.0,100.0
"Bethel School District","Not Eligible For Lunch",93.5,95.5,95.9,95.8,98.1
"Bloomfield School District","Eligible For Free Lunch",67.2,65.9,79.4,89.1,82.9
"Bloomfield School District","Eligible For Reduced Lunch",69.2,80.6,92.3,94.7,84.4
"Bloomfield School District","Not Eligible For Lunch",78.4,90.0,95.8,82.8,95.2
"Bolton School District","Eligible For Free Lunch","*","*","*","*","*"
"Bolton School District","Eligible For Reduced Lunch","N/A","*","*","*","*"
"Bolton School District","Not Eligible For Lunch","*",96.9,97.2,96.7,96.8
"Branford School District","Eligible For Free Lunch",76.9,87.2,86.8,83.6,76.2
"Branford School District","Eligible For Reduced Lunch",78.6,95.5,85.7,71.4,85.0
"Branford School District","Not Eligible For Lunch",96.3,93.9,93.9,93.9,93.7
"Bridgeport Achievement First District","Eligible For Free Lunch","N/A","N/A","N/A","N/A",91.7
"Bridgeport Achievement First District","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Bridgeport Achievement First District","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","Eligible For Free Lunch",59.7,66.0,66.6,71.4,63.6
"Bridgeport School District","Eligible For Reduced Lunch",77.0,72.5,76.4,"*","*"
"Bridgeport School District","Not Eligible For Lunch",57.6,60.0,76.9,"*","*"
"Bristol School District","Eligible For Free Lunch",57.2,68.2,56.0,69.2,67.5
