"Four-Year Graduation Rates, 2014-15"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,"Graduates",,"Non-Graduates",,,
"District","Free/Reduced Price Meal Eligibility","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Eligible For Free Lunch",22,18,81.8,"*","*","*","*"
"Amistad Academy District","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Ansonia School District","Eligible For Free Lunch",98,77,78.6,12,12.2,9,9.2
"Ansonia School District","Eligible For Reduced Lunch",32,29,90.6,"*","*","*","*"
"Ansonia School District","Not Eligible For Lunch",42,38,90.5,"*","*","*","*"
"Avon School District","Eligible For Free Lunch",10,9,90.0,"*","*","*","*"
"Avon School District","Eligible For Reduced Lunch",9,7,77.8,"*","*","*","*"
"Avon School District","Not Eligible For Lunch",229,222,96.9,"*","*","*","*"
"Berlin School District","Eligible For Free Lunch",27,21,77.8,"*","*","*","*"
"Berlin School District","Eligible For Reduced Lunch",6,6,100.0,"*","*","*","*"
"Berlin School District","Not Eligible For Lunch",177,170,96.0,"*","*","*","*"
"Bethel School District","Eligible For Free Lunch",36,30,83.3,"*","*","*","*"
"Bethel School District","Eligible For Reduced Lunch",20,20,100.0,"*","*","*","*"
"Bethel School District","Not Eligible For Lunch",162,159,98.1,"*","*","*","*"
"Bloomfield School District","Eligible For Free Lunch",82,68,82.9,8,9.8,6,7.3
"Bloomfield School District","Eligible For Reduced Lunch",32,27,84.4,"*","*","*","*"
"Bloomfield School District","Not Eligible For Lunch",62,59,95.2,"*","*","*","*"
"Bolton School District","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Bolton School District","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Bolton School District","Not Eligible For Lunch",62,60,96.8,"*","*","*","*"
"Branford School District","Eligible For Free Lunch",42,32,76.2,"*","*","*","*"
"Branford School District","Eligible For Reduced Lunch",20,17,85.0,"*","*","*","*"
"Branford School District","Not Eligible For Lunch",191,179,93.7,"*","*",7,3.7
"Bridgeport Achievement First District","Eligible For Free Lunch",24,22,91.7,"*","*","*","*"
"Bridgeport Achievement First District","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Bridgeport School District","Eligible For Free Lunch",1137,723,63.6,129,11.3,285,25.1
"Bridgeport School District","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Bridgeport School District","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Bristol School District","Eligible For Free Lunch",243,164,67.5,24,9.9,55,22.6
"Bristol School District","Eligible For Reduced Lunch",85,69,81.2,6,7.1,10,11.8
"Bristol School District","Not Eligible For Lunch",319,293,91.8,10,3.1,16,5.0
"Brookfield School District","Eligible For Free Lunch",15,15,100.0,"*","*","*","*"
"Brookfield School District","Eligible For Reduced Lunch",9,8,88.9,"*","*","*","*"
"Brookfield School District","Not Eligible For Lunch",211,201,95.3,"*","*","*","*"
"Canton School District","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Canton School District","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Canton School District","Not Eligible For Lunch",119,116,97.5,"*","*","*","*"
"Capitol Region Education Council","Eligible For Free Lunch",133,111,83.5,12,9.0,10,7.5
"Capitol Region Education Council","Eligible For Reduced Lunch",47,46,97.9,"*","*","*","*"
"Capitol Region Education Council","Not Eligible For Lunch",143,135,94.4,"*","*","*","*"
"Cheshire School District","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Cheshire School District","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Cheshire School District","Not Eligible For Lunch",353,345,97.7,8,2.3,"*","*"
"Clinton School District","Eligible For Free Lunch",33,24,72.7,"*","*",7,21.2
"Clinton School District","Eligible For Reduced Lunch",10,7,70.0,"*","*","*","*"
