"Four-Year Graduation Rates, 2011-12"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,"Graduates",
"District","Free/Reduced Price Meal Eligibility","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Eligible For Free Lunch",14,10,71.4
"Amistad Academy District","Eligible For Reduced Lunch","*","*","*"
"Amistad Academy District","Not Eligible For Lunch","*","*","*"
"Ansonia School District","Eligible For Free Lunch",87,56,64.4
"Ansonia School District","Eligible For Reduced Lunch",45,35,77.8
"Ansonia School District","Not Eligible For Lunch",73,65,89.0
"Avon School District","Eligible For Free Lunch","*","*","*"
"Avon School District","Eligible For Reduced Lunch","*","*","*"
"Avon School District","Not Eligible For Lunch",274,265,96.7
"Berlin School District","Eligible For Free Lunch",21,19,90.5
"Berlin School District","Eligible For Reduced Lunch",9,8,88.9
"Berlin School District","Not Eligible For Lunch",233,222,95.3
"Bethel School District","Eligible For Free Lunch",22,18,81.8
"Bethel School District","Eligible For Reduced Lunch",16,15,93.8
"Bethel School District","Not Eligible For Lunch",201,192,95.5
"Bloomfield School District","Eligible For Free Lunch",85,56,65.9
"Bloomfield School District","Eligible For Reduced Lunch",31,25,80.6
"Bloomfield School District","Not Eligible For Lunch",80,72,90.0
"Bolton School District","Eligible For Free Lunch","*","*","*"
"Bolton School District","Eligible For Reduced Lunch","*","*","*"
"Bolton School District","Not Eligible For Lunch",65,63,96.9
"Branford School District","Eligible For Free Lunch",39,34,87.2
"Branford School District","Eligible For Reduced Lunch",22,21,95.5
"Branford School District","Not Eligible For Lunch",197,185,93.9
"Bridgeport School District","Eligible For Free Lunch",1194,788,66.0
"Bridgeport School District","Eligible For Reduced Lunch",69,50,72.5
"Bridgeport School District","Not Eligible For Lunch",10,6,60.0
"Bristol School District","Eligible For Free Lunch",173,118,68.2
"Bristol School District","Eligible For Reduced Lunch",69,58,84.1
"Bristol School District","Not Eligible For Lunch",389,361,92.8
"Brookfield School District","Eligible For Free Lunch","*","*","*"
"Brookfield School District","Eligible For Reduced Lunch","*","*","*"
"Brookfield School District","Not Eligible For Lunch",238,232,97.5
"Canton School District","Eligible For Free Lunch",7,6,85.7
"Canton School District","Not Eligible For Lunch",112,110,98.2
"Capitol Region Education Council","Eligible For Free Lunch",127,98,77.2
"Capitol Region Education Council","Eligible For Reduced Lunch",55,49,89.1
"Capitol Region Education Council","Not Eligible For Lunch",153,119,77.8
